title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max,role,country
"Senior Data Scientist, Firefly",Adobe,"San Jose, California, United States",onsite,fulltime,,178300.0,2026-03-09 00:00:00+00:00,senior,Bachelors in <field>,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-firefly-adobe-united-states-11/,127300.0,229300.0,Data Scientist,United States
Data Scientist,Netflix,"Amsterdam, , Netherlands",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-netflix-netherlands-5/,,,Data Scientist,Netherlands
"Data Scientist, Product Analytics",Meta,"London, , United Kingdom",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-product-analytics-meta-uk-16/,,,Data Scientist,United Kingdom
Data Scientist - TikTok Privacy,TikTok,"San Jose, California, United States",onsite,fulltime,,192000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-tiktok-united-states-29/,144000.0,240000.0,Data Scientist,United States
"Data Scientist, TikTok Live",TikTok,", , Singapore",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-tiktok-singapore-28/,,,Data Scientist,Singapore
Staff Data Scientist,Pinterest,"San, , United States",onsite,fulltime,,226272.5,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-data-scientist-pinterest-united-states-26/,148049.0,304496.0,Data Scientist,United States
Data Scientist II,Pinterest,"Toronto, Ontario, Canada",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ii-pinterest-canada-25/,,,Data Scientist,Canada
Principal Data Science Manager,Microsoft,"Redmond, Washington, United States",onsite,fulltime,,195200.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-data-science-manager-microsoft-united-states-18/,133600.0,256800.0,Data Scientist,United States
Associate Data Scientist,Northwell Health,"Lake Success, New York, United States",onsite,fulltime,,87200.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/associate-data-scientist-northwell-health-united-states-1/,66220.0,108180.0,Data Scientist,United States
Lead Data Scientist,The Friedkin Group,"Houston, Texas, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,lead,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/lead-data-scientist-the-friedkin-group-united-states-1/,,,Data Scientist,United States
Senior Data Scientist,CubeSmart,"Malvern, Pennsylvania, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-cubesmart-united-states-1/,,,Data Scientist,United States
Data Scientist - Generative AI,Mayo Clinic,", , United States",onsite,fulltime,,195967.5,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-generative-ai-mayo-clinic-united-states-4/,159973.0,231962.0,Data Scientist,United States
Sr Specialist Data Scientist,Gartner,"New York, New York, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-specialist-data-scientist-gartner-united-states-4/,,,Data Scientist,United States
Data Scientist II,Comcast,"Philadelphia, Pennsylvania, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ii-comcast-united-states-2/,,,Data Scientist,United States
Data Scientist,Alliant Credit Union,"Chicago, Illinois, United States",onsite,fulltime,,145000.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-alliant-credit-union-united-states-1/,140000.0,150000.0,Data Scientist,United States
Data Scientist - Forecasting,Airbnb,", , United States",onsite,fulltime,,157150.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-forecasting-airbnb-united-states-9/,140000.0,174300.0,Data Scientist,United States
Data Scientist,Visa,"Highlands Ranch, Colorado, United States",onsite,fulltime,,121350.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-visa-united-states-12/,106700.0,136000.0,Data Scientist,United States
Data Science Intern,Bayer,"Champaign, Illinois, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-intern-bayer-united-states-4/,,,Data Scientist,United States
Senior Data Scientist,DoorDash,"New York, New York, United States",onsite,fulltime,,202500.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-doordash-united-states-3/,162000.0,243000.0,Data Scientist,United States
Data Science Analyst,Booz Allen Hamilton,"Arlington, Virginia, United States",onsite,fulltime,,95700.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-analyst-booz-allen-hamilton-united-states-11/,58400.0,133000.0,Data Scientist,United States
Data Scientist,Amazon,"Seattle, Washington, United States",onsite,fulltime,,162200.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-amazon-united-states-24/,111600.0,212800.0,Data Scientist,United States
Senior Data Scientist - Specialty Operations Optimization,CVS Health,"New York, New York, United States",onsite,fulltime,,156302.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-cvs-health-united-states-16/,106605.0,206000.0,Data Scientist,United States
Data Scientist,"Itron, Inc.","Milwaukee, Wisconsin, United States",onsite,fulltime,,,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-itron-inc-united-states-1/,,,Data Scientist,United States
"Associate Decision Scientist, Client Analytics",Ibotta,"Denver, Colorado, United States",onsite,fulltime,,70000.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Analytics,datasciencejobs,https://datasciencejobs.com/jobs/associate-decision-scientist-ibotta-inc-united-states-2/,60000.0,80000.0,Data Analyst,United States
